Date,Open,High,Low,Close,Volume
2022-07-28,521.0,523.1,512.2,513.4,21249908
2022-07-29,513.9,519.8,509.4,513.7,32529221
2022-08-01,536.2,557.8,536.2,545.2,31325308
2022-08-02,533.1,541.3,530.8,534.4,39732317
2022-08-03,532.4,544.7,530.3,543.4,42409022
2022-08-04,538.0,545.0,537.9,540.8,19328618
2022-08-05,540.0,544.9,531.1,541.9,13580020
2022-08-08,544.3,549.9,541.4,545.5,14535469
2022-08-09,545.0,556.4,544.4,553.5,36065716
2022-08-10,549.5,555.2,543.4,545.0,18967311
2022-08-11,548.8,550.7,545.6,548.9,8667223
2022-08-12,550.6,554.7,548.4,550.5,10238401
2022-08-15,552.3,553.0,544.0,547.0,14941594
2022-08-16,546.8,553.2,546.8,549.8,15918386
2022-08-17,550.5,552.3,541.7,545.1,13002272
2022-08-18,536.0,543.1,531.798,540.7,35124765
2022-08-19,539.0,540.7,534.8,536.8,32406970
2022-08-22,535.1,539.5,532.6,538.2,23996058
2022-08-23,533.6,534.1,528.2,531.3,16359493
2022-08-24,529.6,531.0,518.2,521.2,21197546
2022-08-25,526.4,528.9,520.0,522.5,10572577
2022-08-26,528.7,531.6,522.3,523.0,34962657
2022-08-30,526.2,538.211,523.9,529.5,19503771
2022-08-31,534.0,534.02,526.1,528.8,44929787
2022-09-01,527.9,530.9,518.4,520.8,19962553
2022-09-02,527.6,535.3,524.7,534.9,21503657
2022-09-05,530.6,536.8,527.8,536.8,18525092
2022-09-06,535.3,539.1,528.5,533.7,19060401
2022-09-07,530.0,531.3,518.8,523.0,30639882
2022-09-08,525.7,529.3,520.7,525.5,18174238
2022-09-09,526.2,530.2,524.3,525.0,20565779
2022-09-12,532.8,539.1,526.808,536.0,31988724
2022-09-13,535.3,535.4,527.4,529.6,17040989
2022-09-14,528.1,529.6,517.2,518.9,22921832
2022-09-15,523.8,531.6,521.8,529.7,21711834
2022-09-16,530.9,537.0,527.3,529.6,53237791
2022-09-20,537.6,541.0,530.2,534.1,31180004
2022-09-21,537.0,537.0,518.9,524.9,60407934
2022-09-22,519.7,523.7,512.933,515.0,23443275
2022-09-23,519.3,522.0,505.5,510.0,35204699
2022-09-26,501.3,506.076,492.0,499.6,32819024
2022-09-27,502.0,504.1,495.35,495.7,43346266
2022-09-28,484.0,485.15,469.55,483.45,40585129
2022-09-29,476.6,479.5,461.95,467.0,33273984
2022-09-30,468.5,483.633,465.0,467.3,35679383
2022-10-03,462.4,463.15,453.5,461.4,22714763
2022-10-04,462.25,484.31,461.4,481.95,50766235
2022-10-05,477.0,478.55,465.15,472.4,41395079
2022-10-06,474.0,478.45,468.4,471.3,41892928
2022-10-07,470.0,473.35,463.9,467.0,18751759
2022-10-10,463.05,467.7,461.65,462.75,25125380
2022-10-11,461.2,462.15,452.85,454.5,22331842
2022-10-12,453.0,453.9,443.634,449.05,28862427
2022-10-13,448.15,461.8,442.35,459.25,30719721
2022-10-14,460.0,465.15,456.25,458.8,41288892
2022-10-17,464.0,475.2,462.45,471.25,35260400
2022-10-18,472.15,476.45,464.65,465.75,25040138
2022-10-19,469.0,477.75,466.65,474.0,24410156
2022-10-20,473.25,477.7,470.8,472.9,26091880
2022-10-21,474.75,478.3,467.9,477.85,21917926
2022-10-24,471.0,477.6,468.25,475.1,25541061
2022-10-25,460.3,460.379,436.2,442.65,51977901
2022-10-26,449.35,449.75,434.7,443.95,80604898
2022-10-27,446.15,452.15,442.5,450.15,20824542
2022-10-28,445.45,446.05,439.65,442.2,19656016
2022-10-31,443.3,453.0,442.45,447.3,29847740
2022-11-01,453.6,459.6,452.85,458.55,34411390
2022-11-02,460.0,460.95,450.3,456.8,15752022
2022-11-03,454.4,463.15,452.95,463.15,18286802
2022-11-04,471.65,495.425,468.55,490.0,46287338
2022-11-07,486.5,491.4,476.1,479.4,27647071
2022-11-08,478.45,482.15,475.841,478.65,12175981
2022-11-09,477.15,478.35,472.85,476.7,10679605
2022-11-10,475.5,479.05,468.95,474.15,20113839
2022-11-11,472.25,476.6,469.65,470.2,23946629
2022-11-14,472.75,483.0,471.3,480.3,18085476
2022-11-15,482.5,483.9,475.95,480.0,19489207
2022-11-16,478.1,479.9,473.95,475.5,16851839
2022-11-17,476.9,481.4,471.3,481.2,14773800
2022-11-18,474.75,484.45,474.1,478.9,34581612
2022-11-21,479.55,486.0,478.1,483.5,30785977
2022-11-22,484.25,489.5,483.55,486.85,11529697
2022-11-23,486.95,491.45,484.7,489.2,15876477
2022-11-24,489.55,492.98,487.525,489.5,10402601
2022-11-25,487.8,491.95,487.8,491.95,23394528
2022-11-28,481.4,490.4,481.2,488.6,44234698
2022-11-29,490.65,515.4,490.3,510.3,37036353
2022-11-30,507.3,511.9,504.5,509.7,46323161
2022-12-01,501.0,506.7,497.35,497.9,22994441
2022-12-02,492.95,499.15,488.3,498.5,25331250
2022-12-05,497.0,502.8,494.4,500.0,38359432
2022-12-06,496.7,503.0,496.0,498.65,20112726
2022-12-07,495.5,498.3,491.85,493.85,36138248
2022-12-08,494.6,498.999,493.5,495.3,14697498
2022-12-09,495.9,498.35,493.6,496.2,15633060
2022-12-12,499.6,499.95,493.1,496.35,16666852
2022-12-13,498.2,508.0,497.7,500.1,21965456
2022-12-14,500.0,502.8,496.65,497.7,43951829
2022-12-15,492.5,493.8,487.65,492.65,18123848
2022-12-16,493.0,496.3,481.0,492.25,50367136
2022-12-19,493.85,496.85,492.15,495.75,10334574
2022-12-20,495.5,503.9,494.7,502.8,35020690
2022-12-21,501.8,511.9,501.4,511.3,15859353
2022-12-22,512.7,516.1,510.6,512.3,26334928
2022-12-23,511.4,513.3,508.9,510.3,19354109
2022-12-28,515.3,520.7,510.7,518.0,24836592
2022-12-29,516.9,520.15,514.4,518.8,8053077
2022-12-30,516.9,519.2,515.6,515.7,8437810
2023-01-03,518.1,531.7,515.7,529.9,33285725
2023-01-04,535.1,544.8,532.5,543.5,21604090
2023-01-05,548.0,568.4,545.399,565.3,36654670
2023-01-06,566.0,569.85,559.6,568.6,31225164
2023-01-09,564.5,566.8,561.6,563.2,23530081
2023-01-10,561.9,566.4,559.744,564.1,15239244
2023-01-11,566.5,573.0,565.2,569.6,51986581
2023-01-12,572.3,585.65,571.2,581.8,27880378
2023-01-13,585.0,594.6,584.2,591.2,72127539
2023-01-16,593.4,598.0,592.069,596.1,18356071
2023-01-17,595.1,596.7,589.1,591.2,46847974
2023-01-18,589.2,593.3,586.9,590.7,41081237
2023-01-19,587.0,588.6,578.7,585.5,28885831
2023-01-20,589.0,593.1,587.1,592.6,22978407
2023-01-23,593.0,595.5,592.1,592.1,13977254
2023-01-24,594.2,597.5,589.365,594.8,14234046
2023-01-25,596.3,599.5,594.2,598.5,28558123
2023-01-26,598.1,603.9,596.5,603.9,44789252
2023-01-27,601.0,603.6,596.5,600.5,24753721
2023-01-30,597.9,602.6,592.1,602.0,53950303
2023-01-31,598.0,599.9,591.8,596.4,31284255
2023-02-01,592.0,601.3,590.7,601.3,27200209
