,Open,High,Low,Close,Volume
2005-01-03,765.9918,765.9918,765.9918,765.9918,0
2005-01-04,771.2204,784.7277,766.4275,784.2919,52038693
2005-01-05,778.1919,779.9348,774.0282,776.0133,39991088
2005-01-06,776.4490,779.4991,773.3990,774.7062,33691981
2005-01-07,771.2204,774.7062,766.8632,770.7847,31168528
2005-01-10,769.4775,769.4775,764.2925,768.6061,28922930
2005-01-11,766.4275,766.9940,759.3393,762.9418,32092685
2005-01-12,762.5061,765.1204,752.0488,758.1489,45958684
2005-01-13,759.0203,762.9400,751.8484,761.1989,55409126
2005-01-14,757.2774,767.7782,757.2774,763.8132,36268486
2005-01-17,765.5561,769.9133,761.5693,767.2990,20554672
2005-01-18,767.7347,770.4570,762.5061,765.9918,0
2005-01-19,768.6061,771.0723,761.6346,762.9418,37233461
2005-01-20,759.8918,764.6846,756.8417,762.5061,29778135
2005-01-21,762.0703,762.0703,756.1420,756.4060,29031255
2005-01-24,753.7917,756.8992,749.8702,756.4060,28127243
2005-01-25,758.1489,766.8632,758.1489,764.2489,29064806
2005-01-26,764.6846,767.8915,761.3627,764.6846,32968862
2005-01-27,771.2204,771.2204,756.8417,761.6346,29045437
2005-01-28,763.3775,763.5692,755.2731,756.8417,31114853
2005-01-31,762.0703,769.4775,761.6346,765.5561,25559567
2005-02-01,762.5061,767.7347,760.3275,765.9918,32692511
2005-02-02,764.6846,765.9918,759.4560,761.6346,28063075
2005-02-03,760.7632,761.4691,757.2774,760.3275,32199056
2005-02-04,763.3775,775.5776,759.8918,771.2204,53312573
2005-02-07,777.3205,785.8605,772.0919,782.5491,51444074
2005-02-08,786.9063,793.0063,780.0254,789.0848,47095438
2005-02-09,787.7777,797.7992,784.2919,789.9563,37880849
2005-02-10,789.5206,796.0563,784.4575,786.0348,30736035
2005-02-11,786.9063,790.8277,784.8148,789.9563,22040227
2005-02-14,788.2134,792.1349,785.1634,786.4705,21969939
2005-02-15,786.4705,791.9170,782.4619,789.9563,24401636
2005-02-16,788.2134,789.5206,782.9848,789.5206,23213130
2005-02-17,788.2134,790.8713,783.4205,785.1634,28088762
2005-02-18,784.2919,791.4813,781.2419,784.2919,34452328
2005-02-21,784.2919,784.2919,778.7583,781.2419,6661413
2005-02-22,778.1919,779.0633,773.3990,777.3205,23100106
2005-02-23,772.0919,774.8299,765.9918,770.7847,0
2005-02-24,772.9633,776.4490,769.9133,772.0919,27041481
2005-02-25,773.8347,782.9848,772.0919,778.1919,44014573
2005-02-28,772.0919,776.4490,752.4846,756.4060,119340625
2005-03-01,756.4060,757.7132,741.8478,747.6917,99044763
2005-03-02,749.4345,755.2714,742.4630,748.1274,45857633
2005-03-03,748.1274,755.2993,744.2059,749.4345,41131459
2005-03-04,749.4345,753.1817,733.3130,748.1274,38463382
2005-03-07,748.1274,748.5021,743.6395,745.0773,26504830
2005-03-08,747.6917,749.8702,742.4630,744.2059,33096409
2005-03-09,748.1274,749.8702,731.1344,743.7702,34981983
2005-03-10,740.2845,745.0773,737.5830,738.9773,53045249
2005-03-11,741.5916,745.4085,737.1037,738.9773,30278980
2005-03-14,740.7202,744.6416,740.2845,744.2059,38465499
2005-03-15,742.4630,745.9488,740.4099,745.9488,33532976
2005-03-16,733.7487,734.3761,722.8557,725.0343,30968467
2005-03-17,728.0844,732.0189,724.5986,726.7772,36749866
2005-03-18,728.5201,732.0058,727.2129,728.5201,41230681
2005-03-21,731.5701,737.2344,729.8272,733.3130,36071654
2005-03-22,734.1844,735.9273,730.6987,733.7487,27710832
2005-03-23,730.2629,746.5239,728.5201,735.9273,49553497
2005-03-24,737.2344,739.8487,734.3177,735.9273,26481375
2005-03-25,735.9273,735.9273,735.9273,735.9273,0
2005-03-28,735.9273,735.9273,735.9273,735.9273,0
2005-03-29,732.8773,733.3130,732.6132,733.3130,1243206
2005-03-30,728.5201,740.7202,726.3415,730.6987,17512603
2005-03-31,734.6201,738.7333,727.2826,729.3915,35458764
2005-04-01,729.3915,732.4415,725.9058,731.1344,37778853
2005-04-04,728.9558,731.5701,723.5093,727.6486,36311229
2005-04-05,727.6486,730.2629,723.7272,728.5201,25452782
2005-04-06,729.3915,742.8988,727.6486,731.5701,25012714
2005-04-07,729.8272,735.2824,729.3915,732.0058,24179543
2005-04-08,738.1059,739.8487,735.9273,736.3630,32860747
2005-04-11,735.0558,743.3345,729.2172,731.5701,16089101
2005-04-12,730.2629,731.4830,727.5005,730.6987,16998592
2005-04-13,734.1844,735.6571,732.0058,734.1844,29171643
2005-04-14,733.7487,738.1059,733.3130,735.9273,28618272
2005-04-15,732.8773,733.7487,729.2347,729.8272,28603313
2005-04-18,721.5486,729.1649,718.0628,721.5486,34515511
2005-04-19,722.8557,724.1629,720.6772,721.9843,28438893
2005-04-20,720.6772,721.5486,717.1914,719.3700,31355174
2005-04-21,717.6271,723.8649,715.3222,718.9343,35647776
2005-04-22,725.4700,726.6901,718.4986,721.5486,23643676
2005-04-25,723.7272,726.0452,722.3067,724.1629,34532274
2005-04-26,731.1344,732.7291,724.1629,731.1344,41615602
2005-04-27,730.6987,733.2955,725.0343,727.6486,44358760
2005-04-28,731.5701,732.8773,723.2915,726.7772,51766018
2005-04-29,725.0343,739.9359,722.0523,728.0844,31647721
2005-05-02,728.0844,728.0844,728.0844,728.0844,0
2005-05-03,734.6201,741.1559,732.4415,738.5416,40321558
2005-05-04,739.4130,760.9810,725.9058,742.8988,27741479
2005-05-05,742.8988,746.8202,733.7487,744.2059,25524219
2005-05-06,744.2059,751.1826,743.3345,747.6917,22608641
2005-05-09,748.5631,750.7417,745.7309,748.9988,26651050
2005-05-10,751.1774,752.0488,744.0229,746.8202,29469777
2005-05-11,744.6416,754.6631,738.8379,750.3060,48620265
2005-05-12,750.7417,754.5499,740.7202,751.1774,38815767
2005-05-13,748.9988,752.0488,744.8943,751.1774,25652712
